Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
江苏省,1992,东部地区,2136.02,1119.26,622.94,3106.0,1017.94,481.15,6911.2,0.28,2457.76,0.28,120.0,0.3,,6296.5
河北省,1992,东部地区,1278.5,573.2,448.3,2046.0,517.8,458.75,6275.33,6.45,6300.0,6.45,93.0,3.25,,6866.29
浙江省,1992,东部地区,1380.65,652.26,465.72,3221.0,581.73,288.14,4285.91,63.65,143.91,63.65,51.0,,,3484.22
海南省,1992,东部地区,184.92,38.27,93.06,2719.0,20.98,19.79,686.0,7.63,1.61,7.63,2.0,,,214.58
福建省,1992,东部地区,788.17,290.56,308.91,2545.0,241.78,176.55,3116.0,94.86,910.0,94.86,14.0,,,1624.05
安徽省,1992,中部地区,827.0,330.7,265.9,1434.0,283.7,236.27,5834.0,9.33,3400.0,9.33,42.0,,,3138.3
山西省,1992,中部地区,551.12,270.28,197.9,1862.0,240.44,384.2,2979.0,5.98,29700.0,5.98,75.0,0.65,,5034.4
江西省,1992,中部地区,572.55,199.4,172.34,1472.0,168.14,143.63,3913.0927,36.79,2100.0,36.79,32.0,,,1871.4
河南省,1992,中部地区,1285.02,542.4,399.87,1458.0,481.1,405.17,8861.0,14.81,9027.0,14.81,58.0,12.61,,5583.0
湖北省,1992,中部地区,1088.39,443.11,342.28,1962.0,402.59,367.2,5579.85,227.03,900.0,227.03,49.0,0.82,,4472.41
湖南省,1992,中部地区,986.98,337.17,325.9,1595.0,284.66,244.78,6267.0,106.19,3601.62,106.19,49.0,,,4097.33
云南省,1992,西部地区,618.69,219.03,212.86,1625.0,193.9,155.75,3831.6,92.76,2400.0,92.76,25.0,0.44,,2016.61
内蒙古,1992,西部地区,421.68,152.56,142.26,1906.0,120.85,222.29,2206.6,1.11,5039.0,1.11,74.0,,,2554.99
四川省,1992,西部地区,1177.27,441.57,363.66,1477.0,383.52,419.4,10998.0,168.3,7093.6,168.3,168.0,67.1,,4897.1
宁夏,1992,西部地区,83.14,34.05,30.78,1739.0,27.74,76.62,487.0,8.4,1400.0,8.4,22.0,0.09,,705.0
广西,1992,西部地区,646.6,187.48,226.09,1490.0,161.44,153.06,4380.0,73.98,992.91,73.98,62.0,,,1549.3
新疆,1992,西部地区,402.3,144.4,148.9,2477.0,106.3,86.81,1581.0,17.61,2204.5,17.61,24.0,6.75,,2260.8
甘肃省,1992,西部地区,317.79,128.66,114.93,1382.0,110.21,200.32,2314.19,87.1,1542.36,87.1,35.0,0.43,,2349.0
西藏,1992,西部地区,33.3,4.5,12.7,1468.0,2.6,3.56,228.0,2.62,0.7,2.62,,,,
贵州省,1992,西部地区,341.02,122.08,97.76,1022.0,106.41,129.35,3361.0,52.07,4200.0,52.07,71.48,0.44,,2518.8
重庆市,1992,西部地区,463.92,195.1,151.54,1650.0,171.96,91.95,2950.78,9.77,2432.44,9.77,,36.44,,1374.12
陕西省,1992,西部地区,533.92,232.07,185.14,1578.0,198.93,189.1,3405.0,30.15,3423.2,30.15,67.0,0.28,,2440.8
青海省,1992,西部地区,87.52,36.31,31.31,1912.0,26.69,49.83,461.0,34.5,282.4,34.5,2.0,0.52,,499.29
