Province,Year,Year imputed,Region imputed,Regional GDP imputed,Secondary industry value added imputed,Tertiary industry value added from Long imputed,Industrial value added from Long imputed,Total electricity generation imputed,Population imputed,Hydropower generation from Long imputed,Raw coal production from Long imputed,Non fossil electricity generation imputed,SO2 emissions imputed,Natural gas production from Long imputed,Total apparent CO2 emissions (mt) imputed
海南省,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
福建省,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
安徽省,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
山西省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
江西省,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
河南省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖北省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖南省,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
云南省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
内蒙古,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
四川省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宁夏,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广西,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
西藏,1995,False,False,False,False,False,False,False,False,False,True,False,True,True,True
贵州省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1995,False,False,False,False,False,False,False,False,True,False,True,True,False,True
陕西省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
青海省,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True
吉林省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
辽宁省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
黑龙江,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1996,False,False,False,False,False,False,False,False,True,False,True,True,True,True
北京市,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
天津市,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
山东省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
广东省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
江苏省,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,True
河北省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
浙江省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
海南省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
福建省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
安徽省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
山西省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
江西省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
河南省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
湖北省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
湖南省,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
云南省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
内蒙古,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
四川省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
宁夏,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
广西,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
